ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	amendoim_cm	l	20_30	b1	1.61	1.79	90.22	267	102	631	0.13	0.27	0.4	2.7	0.75	0.45	9.06	0.03	1	13	4.2	0.6	13	6.5	25	7.07	11.03	0.62	6.21	1.00
4	amendoim_cm	l	20_30	b2	1.6	1.8	89.03	267	102	631	0.11	0.29	0.41	2.7	0.72	0.59	6.13	0.02	1	10	5.5	0.6	13	6	15	4.8	7.49	0.39	3.88	0.62
4	amendoim_cm	l	20_30	b3	1.58	1.79	88.04	267	102	631	0.06	0.36	0.41	2.7	0.79	0.31	5.9	0.03	1	11	5.3	0.6	13	7	18	5.84	9.11	0.29	2.87	0.46
4	amendoim_cm	l	30_70	b1	1.61	1.75	91.78	322	107	571	0.06	0.35	0.4	2.69	1.14	0.58	2	0.02	3	11	4.3	1.5	12.5	6	25	6.14	41.51	0.49	4.89	3.15
4	amendoim_cm	l	30_70	b2	1.65	1.76	93.94	322	107	571	0.07	0.32	0.39	2.69	0.96	0.3	1.91	0.02	1	9	5.6	0.9	14	6	13	4.74	32.06	0.57	5.73	3.69
4	amendoim_cm	l	30_70	b3	1.67	1.75	95.39	322	107	571	0.03	0.35	0.38	2.69	1.32	0.33	1.55	0.02	2	10	4.95	1.2	11	6	19	5.44	36.77	0.34	3.43	2.21
4	amendoim_pd	el	0_20	b1	1.73	1.83	94.53	224.4	102.8	673	0.06	0.3	0.36	2.69	0.86	0.39	2.39	0.03	1.6	13.2	4.48	0.72	7.4	3.3	19.2	6.26	14.06	0.03	0.31	0.34
4	amendoim_pd	el	0_20	b2	1.77	1.83	96.55	224.4	102.8	673	0.07	0.27	0.34	2.69	0.97	0.38	2.24	0.03	1.7	11.2	5.1	0.63	7.9	4	19.6	4.99	11.64	0.05	0.47	0.52
4	amendoim_pd	el	0_20	b3	1.76	1.83	96.03	224.4	102.8	673	0.07	0.27	0.35	2.69	0.92	0.37	2.19	0.03	3	11.6	4.32	0.9	6.7	2.8	23.4	5.4	11.23	0.06	0.63	0.51
4	amendoim_pd	el	20_30	b1	1.71	1.8	94.96	267	102	631	0.08	0.29	0.37	2.7	0.42	0.35	1.07	0.03	2	11	4.4	0.5	7	3	20	5.6	9.63	0.03	0.32	0.55
